#Id,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,modularity_class,clustering,triangles,eigencentrality,pageranks,Authority,Hub
18996,50,644,7,0.323348,0.34072,34513.918802,1,77,0.437551,536,0.018289,0.000049,0.001271,0.001271
19856,39,266,8,0.306456,0.324543,49023.266453,1,20,0.315789,234,0.00939,0.00005,0.000648,0.000648
23741,43,433,7,0.332326,0.352167,95919.297725,1,30,0.472868,427,0.036023,0.000049,0.002609,0.002609
23803,29,377,7,0.327871,0.346611,11961.833825,1,20,0.519704,211,0.022569,0.00003,0.00161,0.00161
13348,62,568,7,0.31811,0.334202,65239.280903,1,77,0.313591,593,0.017654,0.000063,0.001097,0.001097
13351,40,356,8,0.277161,0.289697,598.761508,1,77,0.494872,386,0.004833,0.000041,0.000184,0.000184
13360,26,270,8,0.299075,0.313963,1695.50049,1,77,0.673846,219,0.006655,0.000028,0.000352,0.000352
13361,19,183,8,0.276519,0.288492,16.838934,1,77,0.888889,152,0.003133,0.000021,0.000148,0.000148
18997,23,299,8,0.276517,0.288404,17.776875,1,77,0.774704,196,0.003195,0.000025,0.000139,0.000139
13358,2,12,8,0.275988,0.287435,0,1,77,1,1,0.001133,0.000006,0.000077,0.000077
16720,6,43,8,0.314743,0.32881,806.265546,1,20,0.866667,13,0.00786,0.000011,0.000525,0.000525
14045,76,880,8,0.321343,0.338908,32821.093015,1,69,0.487368,1389,0.0415,0.000061,0.002729,0.002729
23802,11,188,8,0.303185,0.319988,0,1,20,1,55,0.008144,0.000014,0.000497,0.000497
23804,11,188,8,0.303185,0.319988,0,1,20,1,55,0.008144,0.000014,0.000497,0.000497
14350,18,187,8,0.279157,0.293847,1.076467,1,21,0.934641,143,0.007706,0.000017,0.000588,0.000588
14352,12,82,8,0.279131,0.293734,0,1,21,1,66,0.006932,0.000012,0.000545,0.000545
14372,1,11,1,1,1,0,159,199,0,0,0.000046,0.000028,0,0
14373,1,11,1,1,1,0,159,199,0,0,0.000046,0.000028,0,0
15324,3,18,8,0.273151,0.284946,0,1,77,1,3,0.001459,0.000007,0.000097,0.000097
15325,1,6,1,1,1,0,160,200,0,0,0.000046,0.000028,0,0
15326,1,6,1,1,1,0,160,200,0,0,0.000046,0.000028,0,0
16435,5,35,8,0.254782,0.264473,0,1,21,1,10,0.000824,0.00001,0.000051,0.000051
16534,2,12,1,1,1,0,161,201,1,1,0.000093,0.000028,0,0
16535,2,12,1,1,1,0,161,201,1,1,0.000093,0.000028,0,0
16536,2,12,1,1,1,0,161,201,1,1,0.000093,0.000028,0,0
13423,4,32,8,0.311636,0.325006,3.773786,1,20,0.833333,5,0.005752,0.000008,0.000409,0.000409
17032,4,24,1,1,1,0,151,188,1,6,0.000191,0.000028,0,0
17034,4,24,1,1,1,0,151,188,1,6,0.000191,0.000028,0,0
17133,5,30,8,0.262981,0.27326,0,1,20,1,10,0.000807,0.000016,0.000047,0.000047
17134,5,30,8,0.262981,0.27326,0,1,20,1,10,0.000807,0.000016,0.000047,0.000047
17135,5,30,8,0.262981,0.27326,0,1,20,1,10,0.000807,0.000016,0.000047,0.000047
17136,5,30,8,0.262981,0.27326,0,1,20,1,10,0.000807,0.000016,0.000047,0.000047
17137,5,30,8,0.262981,0.27326,0,1,20,1,10,0.000807,0.000016,0.000047,0.000047
17740,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17741,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17742,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17743,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17744,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17746,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17747,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17748,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17749,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17750,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17751,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17752,18,108,8,0.259142,0.269976,0,1,21,1,153,0.002132,0.000021,0.000098,0.000098
17753,19,130,8,0.266791,0.278512,446.234005,1,21,0.929825,159,0.002889,0.000021,0.000156,0.000156
17754,19,130,8,0.266791,0.278512,446.234005,1,21,0.929825,159,0.002889,0.000021,0.000156,0.000156
17755,19,130,8,0.266791,0.278512,446.234005,1,21,0.929825,159,0.002889,0.000021,0.000156,0.000156
17756,19,130,8,0.266791,0.278512,446.234005,1,21,0.929825,159,0.002889,0.000021,0.000156,0.000156
18299,10,93,8,0.3114,0.324814,16700.764837,1,20,0.488889,22,0.005226,0.000023,0.000345,0.000345
18300,10,93,8,0.3114,0.324814,16700.764837,1,20,0.488889,22,0.005226,0.000023,0.000345,0.000345
18301,5,30,8,0.255703,0.265255,0,1,20,1,10,0.000647,0.000014,0.000034,0.000034
18302,5,30,8,0.255703,0.265255,0,1,20,1,10,0.000647,0.000014,0.000034,0.000034
18303,5,30,8,0.255703,0.265255,0,1,20,1,10,0.000647,0.000014,0.000034,0.000034
15346,2,17,9,0.237421,0.243139,0,1,43,1,1,0.000112,0.000012,0.000001,0.000001
20123,1,6,8,0.249869,0.257868,0,1,35,0,0,0.000168,0.000006,0.000009,0.000009
20469,1,6,8,0.263455,0.274612,0,1,20,0,0,0.000747,0.000005,0.000056,0.000056
23745,13,134,8,0.273185,0.285847,1211.753109,1,30,0.538462,42,0.002394,0.000022,0.000129,0.000129
21098,9,63,8,0.263094,0.274334,0,1,69,1,36,0.001696,0.000013,0.000087,0.000087
21099,9,63,8,0.263094,0.274334,0,1,69,1,36,0.001696,0.000013,0.000087,0.000087
21100,9,63,8,0.263094,0.274334,0,1,69,1,36,0.001696,0.000013,0.000087,0.000087
21101,9,63,8,0.263094,0.274334,0,1,69,1,36,0.001696,0.000013,0.000087,0.000087
21102,9,63,8,0.263094,0.274334,0,1,69,1,36,0.001696,0.000013,0.000087,0.000087
21881,2,12,9,0.24229,0.249241,0,1,76,1,1,0.000162,0.000007,0.000004,0.000004
